Celsius,Fahrenheit,Humidity
14.4,57.92,51.045567502079
16.1,60.980000000000004,40.890358323204
17.8,64.04,41.092708039764
17.8,64.04,46.245115753983
17.2,62.959999999999994,51.800359971891
17.2,62.959999999999994,53.965364925207
16.7,62.059999999999995,55.702676684135
15.0,59.0,64.241540272317
12.2,53.96,80.266011265195
11.7,53.06,82.954048467221
12.2,53.96,83.015085466252
12.8,55.04,79.811182429167
12.2,53.96,83.015085466252
12.8,55.04,79.811182429167
13.9,57.02,77.340598238695
14.4,57.92,77.935757394379
14.4,57.92,77.935757394379
15.6,60.08,77.603412846276
15.6,60.08,77.603412846276
15.6,60.08,80.202281999569
16.7,62.059999999999995,77.771170508303
17.2,62.959999999999994,75.345564108887
17.8,64.04,74.954456791337
20.0,68.0,67.934987286895
20.6,69.08,65.463288484429
21.7,71.06,63.203446818663
21.7,71.06,63.203446818663
21.1,69.98,68.156224810371
21.1,69.98,68.156224810371
20.6,69.08,73.044494681259
20.0,68.0,75.80243725045
19.4,66.92,78.677843412485
19.4,66.92,78.677843412485
18.9,66.02,81.167735576461
19.4,66.92,81.232642384103
18.9,66.02,87.065238588912
18.3,64.94,90.396229795155
18.3,64.94,93.306363604193
18.3,64.94,93.306363604193
18.3,64.94,96.906913592371
18.9,66.02,93.336011600863
18.9,66.02,93.336011600863
18.9,66.02,89.868137503874
18.9,66.02,89.868137503874
19.4,66.92,90.47284679466
20.6,69.08,83.994973551121
21.7,71.06,78.51163782694
23.9,75.02,70.903171757348
25.6,78.08,64.056605035241
25.6,78.08,62.075278891707
26.7,80.06,58.167242282258
27.2,80.96,54.384422361899
26.1,78.98,58.024326504283
25.0,77.0,64.330973491464
22.2,71.96,78.583746586071
20.6,69.08,89.992032132584
20.0,68.0,93.389863240725
,,
,,
19.4,66.92,96.932411448598
20.6,69.08,96.36167032456
18.9,66.02,100.0
18.9,66.02,100.0
18.9,66.02,100.0
19.4,66.92,100.0
,,
,,
19.0,66.2,100.0
19.4,66.92,100.0
,,
,,
,,
19.4,66.92,100.0
19.4,66.92,100.0
19.4,66.92,100.0
19.4,66.92,100.0
19.4,66.92,100.0
,,
19.4,66.92,100.0
19.4,66.92,100.0
,,
18.9,66.02,100.0
,,
19.4,66.92,96.932411448598
20.6,69.08,92.839980753296
23.9,75.02,78.82635534845
23.9,75.02,75.945521582946
24.4,75.92,73.70091272937
24.4,75.92,71.440071968205
23.9,75.02,70.903171757348
23.9,75.02,73.615825457565
23.9,75.02,75.945521582946
22.8,73.04,81.159461531991
22.2,71.96,84.172308156337
20.6,69.08,92.839980753296
20.0,68.0,96.345341919249
20.0,68.0,93.389863240725
20.0,68.0,96.345341919249
19.4,66.92,96.932411448598
20.0,68.0,89.94856028028
20.0,68.0,93.389863240725
21.7,71.06,84.117198153574
20.0,68.0,87.166373588393
15.6,60.08,92.570484068067
15.6,60.08,92.570484068067
13.9,57.02,93.082849756907
13.9,57.02,89.490389141325
14.4,57.92,86.639151568653
14.4,57.92,90.117153427448
